model,norm,seed,prop,auc
rank,l2,2,0.9,0.959401709401709
rank2,l2,2,0.9,0.972649572649573
truth,l2,2,0.9,0.987535612535613
compare,l1,2,0.9,0.941880341880342
rank,l1,2,0.9,0.885042735042735
rank2,l1,2,0.9,0.959045584045584
truth,l1,2,0.9,0.970655270655271
compare,linf,2,0.9,0.976495726495726
rank,linf,2,0.9,0.893304843304843
rank2,linf,2,0.9,0.954059829059829
truth,linf,2,0.9,0.985968660968661
compare,l2,3,0.9,0.988603988603989
rank,l2,3,0.9,0.983475783475783
rank2,l2,3,0.9,0.987535612535613
truth,l2,3,0.9,0.992094017094017
compare,l1,3,0.9,0.91994301994302
rank,l1,3,0.9,0.868518518518518
rank2,l1,3,0.9,0.927065527065527
truth,l1,3,0.9,0.970014245014245
compare,linf,3,0.9,0.907264957264957
rank,linf,3,0.9,0.856125356125356
rank2,linf,3,0.9,0.884259259259259
truth,linf,3,0.9,0.956339031339031
compare,l2,4,0.9,0.967521367521368
rank,l2,4,0.9,0.950071225071225
rank2,l2,4,0.9,0.960754985754986
truth,l2,4,0.9,0.973789173789174
compare,l1,4,0.9,0.966310541310541
rank,l1,4,0.9,0.917307692307692
rank2,l1,4,0.9,0.945797720797721
truth,l1,4,0.9,0.994871794871795
compare,linf,4,0.9,0.939031339031339
rank,linf,4,0.9,0.886680911680912
rank2,linf,4,0.9,0.926282051282051
truth,linf,4,0.9,0.96517094017094
